time,mag,place,lon,lat,depth,time_days
1998-03-11 09:09:06.400000+00:00,3.3,EGYPT,34.9,29.3,5.0,14.00116898148148
1998-02-25 09:07:25.400000+00:00,3.1,DEAD SEA REGION,35.2,31.1,0.0,0.0
1998-04-14 21:29:51.100000+00:00,3.0,DEAD SEA REGION,35.6,31.4,10.0,48.515575231481485
1998-05-12 22:13:11.200000+00:00,3.2,DEAD SEA REGION,34.6691,31.6775,20.0,76.54566898148148
1998-04-25 01:29:34.600000+00:00,3.8,EGYPT,34.5486,29.7528,23.0,58.68205092592593
1998-04-24 09:54:26.300000+00:00,3.2,EGYPT,34.5583,29.7629,20.0,58.03264930555556
1998-06-15 22:03:28.800000+00:00,3.1,EGYPT,34.8476,28.6402,2.0,110.53892824074074
1998-06-14 00:26:32+00:00,3.0,EGYPT,34.6,29.8,17.0,108.63827083333332
1998-06-07 05:58:29+00:00,4.4,EGYPT,29.1978,27.2396,10.0,101.86879166666667
1998-06-05 10:30:56.500000+00:00,3.2,RED SEA,35.1929,26.7983,40.0,100.05799884259258
1998-05-31 13:25:28+00:00,3.7,DEAD SEA REGION,35.0,30.2,3.0,95.17919675925926
1998-05-28 18:33:32.500000+00:00,5.5,EGYPT,27.6484,31.44,28.1,92.39313773148147
1998-05-24 18:58:59.500000+00:00,3.5,DEAD SEA REGION,35.0,30.2,8.0,88.4108113425926
1998-06-27 21:38:59.400000+00:00,3.0,EGYPT,34.5,29.8,9.0,122.5219212962963
1998-06-24 04:30:45.100000+00:00,3.1,EGYPT,34.9,29.0,5.0,118.80786689814813
1998-08-11 07:03:20.300000+00:00,3.4,EGYPT,34.7943,28.8116,20.0,166.9138298611111
1998-08-10 11:23:51.800000+00:00,3.4,EGYPT,34.7644,29.1902,2.0,166.09475
1998-08-02 11:57:06.100000+00:00,3.1,DEAD SEA REGION,35.99,31.58,35.0,158.1178321759259
1998-09-12 15:51:05.300000+00:00,3.2,WESTERN SAUDI ARABIA,35.0708,27.2841,10.0,199.28032291666665
1998-09-05 06:06:48.900000+00:00,3.1,RED SEA,34.5215,27.5726,30.0,191.8745775462963
1998-09-03 21:10:23.700000+00:00,3.0,EGYPT,34.7176,28.1676,10.0,190.5020636574074
1998-09-03 01:51:02.900000+00:00,3.7,EGYPT,34.6,28.28,7.0,189.69696180555556
1998-08-28 09:44:22+00:00,3.4,EGYPT,34.6,28.3,12.0,184.0256550925926
1998-08-28 09:21:23.100000+00:00,3.0,EGYPT,34.6,28.3,12.0,184.00969560185183
1998-08-25 13:03:03.700000+00:00,3.1,EGYPT,34.7,29.2,12.0,181.1636377314815
1998-08-23 07:29:57.400000+00:00,3.2,EGYPT,34.8078,28.8159,15.0,178.93231481481482
1998-10-13 06:27:19.500000+00:00,3.0,EGYPT,34.7859,28.597,5.0,229.88882060185188
1998-10-09 19:39:48.900000+00:00,3.0,EGYPT,34.8299,28.7275,5.0,226.43916087962964
1998-10-07 03:46:19.200000+00:00,3.3,RED SEA,34.0233,26.7592,10.0,223.7770115740741
1998-10-03 16:25:05.500000+00:00,3.2,EGYPT,34.3724,29.7598,10.0,220.3039363425926
1998-09-27 22:28:16.600000+00:00,3.2,EGYPT,34.9122,28.8087,8.0,214.55614814814814
1998-09-27 22:25:32.600000+00:00,3.4,EGYPT,34.8077,28.861,5.0,214.55425
1998-11-06 02:02:35.900000+00:00,3.2,EGYPT,34.7514,29.2805,2.0,253.70498263888888
1998-11-03 05:33:54.500000+00:00,3.1,EGYPT,34.816,29.1764,20.0,250.85172569444447
1998-11-01 05:37:31.300000+00:00,3.5,EGYPT,34.75,28.68,17.0,248.8542349537037
1998-10-24 20:35:43+00:00,3.2,EGYPT,33.6898,27.505,2.0,241.4779814814815
1998-10-23 03:24:10+00:00,3.2,EGYPT,34.64,28.4,51.0,239.76162731481483
1998-12-17 05:41:33.100000+00:00,3.1,EGYPT,34.61,28.23,8.0,294.8570335648148
1998-12-14 23:37:56.100000+00:00,3.6,DEAD SEA REGION,35.5919,31.3045,12.0,292.60452199074075
1998-12-14 22:17:37.600000+00:00,3.3,DEAD SEA REGION,35.5066,31.3217,15.0,292.5487523148148
1998-12-14 20:48:44.900000+00:00,4.7,EGYPT,31.1176,26.4552,10.0,292.48703125
1998-12-14 19:45:17.700000+00:00,3.3,DEAD SEA REGION,35.5387,31.341,10.0,292.4429664351852
1998-12-08 23:52:03.600000+00:00,3.3,EGYPT,29.1,28.04,30.0,286.6143310185185
1998-12-03 00:18:02.200000+00:00,3.0,EGYPT,34.855,28.8117,5.2,280.6323703703704
1998-11-22 19:15:53.300000+00:00,3.4,EGYPT,34.57,28.5392,10.0,270.4225451388889
1998-11-19 12:09:32.200000+00:00,4.2,EGYPT,34.6185,29.6562,20.0,267.1264675925926
1999-01-16 09:39:14.100000+00:00,3.6,RED SEA,34.5903,27.5215,20.0,325.0220914351852
1999-01-04 22:35:39.400000+00:00,3.2,EGYPT,34.7426,28.9249,2.0,313.56127314814813
1998-12-27 06:25:10.200000+00:00,3.0,WESTERN SAUDI ARABIA,35.17,28.29,10.0,304.88732407407406
